Time [s],Channel 2
0.000000000,1
0.000082000,0
0.000092000,1
0.000158000,0
0.000166000,1
0.000238000,0
0.000248000,1
0.000320000,0
0.000330000,1
0.000402000,0
0.000412000,1
0.000468000,0
0.000478000,1
0.000528000,0
0.000538000,1
0.000564000,0
0.000574000,1
0.000622000,0
0.000632000,1
0.000878000,0
0.000888000,1
0.001048000,0
0.001056000,1
0.001110000,0
0.001120000,1
0.001192000,0
0.001202000,1
0.001274000,0
0.001282000,1
0.001354000,0
0.001364000,1
0.001422000,0
0.001430000,1
0.001484000,0
0.001494000,1
0.001520000,0
0.001530000,1
0.001572000,0
0.001580000,1
0.001844000,0
0.001852000,1
0.002012000,0
0.002022000,1
0.002076000,0
0.002084000,1
0.002158000,0
0.002166000,1
0.002238000,0
0.002248000,1
0.002320000,0
0.002330000,1
0.002386000,0
0.002396000,1
0.002452000,0
0.002462000,1
0.002488000,0
0.002498000,1
0.002534000,0
0.002544000,1
0.002808000,0
0.002818000,1
0.002978000,0
0.002986000,1
0.003052000,0
0.003062000,1
0.003134000,0
0.003144000,1
0.003216000,0
0.003224000,1
0.003298000,0
0.003306000,1
0.003364000,0
0.003372000,1
0.003432000,0
0.003442000,1
0.003468000,0
0.003478000,1
0.003508000,0
0.003518000,1
0.003774000,0
0.003782000,1
0.003942000,0
0.003952000,1
0.004018000,0
0.004026000,1
0.004100000,0
0.004108000,1
0.004180000,0
0.004190000,1
0.004262000,0
0.004272000,1
0.004328000,0
0.004338000,1
0.004400000,0
0.004410000,1
0.004438000,0
0.004446000,1
0.004518000,0
0.004528000,1
0.004738000,0
0.004748000,1
0.004908000,0
0.004916000,1
0.004946000,0
0.004956000,1
0.005028000,0
0.005038000,1
0.005110000,0
0.005118000,1
0.005192000,0
0.005200000,1
0.005258000,0
0.005266000,1
0.005332000,0
0.005342000,1
0.005368000,0
0.005378000,1
0.005444000,0
0.005454000,1
0.005704000,0
0.005714000,1
0.005872000,0
0.005882000,1
0.005912000,0
0.005922000,1
0.005994000,0
0.006002000,1
0.006074000,0
0.006084000,1
0.006156000,0
0.006166000,1
0.006222000,0
0.006232000,1
0.006300000,0
0.006310000,1
0.006338000,0
0.006346000,1
0.006406000,0
0.006416000,1
0.006668000,0
0.006678000,1
0.006838000,0
0.006846000,1
0.006876000,0
0.006886000,1
0.006958000,0
0.006968000,1
0.007040000,0
0.007048000,1
0.007122000,0
0.007130000,1
0.007188000,0
0.007196000,1
0.007268000,0
0.007278000,1
0.007306000,0
0.007314000,1
0.007368000,0
0.007378000,1
0.007634000,0
0.007642000,1
0.007802000,0
0.007812000,1
0.007842000,0
0.007852000,1
0.007924000,0
0.007932000,1
0.008004000,0
0.008014000,1
0.008086000,0
0.008096000,1
0.008156000,0
0.008164000,1
0.008192000,0
0.008200000,1
0.008228000,0
0.008236000,1
0.008304000,0
0.008312000,1
0.008598000,0
0.008608000,1
0.008768000,0
0.008776000,1
0.008830000,0
0.008840000,1
0.008912000,0
0.008922000,1
0.008994000,0
0.009004000,1
0.009076000,0
0.009084000,1
0.009144000,0
0.009154000,1
0.009184000,0
0.009194000,1
0.009220000,0
0.009230000,1
0.009302000,0
0.009310000,1
0.009564000,0
0.009572000,1
0.009732000,0
0.009742000,1
0.009772000,0
0.009782000,1
0.009854000,0
0.009862000,1
0.009934000,0
0.009944000,1
0.010016000,0
0.010026000,1
0.010086000,0
0.010094000,1
0.010128000,0
0.010136000,1
0.010164000,0
0.010174000,1
0.010228000,0
0.010236000,1
0.010528000,0
0.010538000,1
0.010698000,0
0.010708000,1
0.010738000,0
0.010746000,1
0.010818000,0
0.010828000,1
0.010900000,0
0.010910000,1
